Codes,Names,PPH_2013,White (%),Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME (%),Median Annual Household Income estimate (£)
E01004244,Tower Hamlets 020B,151,38.4,3.1,43.3,13.3,1.8,61.6,26295
E01004247,Tower Hamlets 020C,180,38.9,3.7,45.6,9.7,2.2,61.1,25587
E01004250,Tower Hamlets 020D,241,38.7,4.0,44.1,11.4,1.8,61.3,26493
E01004319,Tower Hamlets 021A,227,20.9,2.3,70.8,4.7,1.3,79.1,27417
E01004321,Tower Hamlets 021C,176,26.9,1.8,63.9,5.3,2.1,73.1,29411
E01004325,Tower Hamlets 021D,189,51.4,4.2,39.3,2.9,2.2,48.6,44469
E01032766,Tower Hamlets 021E,165,46.4,4.3,38.6,6.5,4.3,53.6,48592
E01032767,Tower Hamlets 021F,138,65.9,3.0,23.7,2.1,5.2,34.1,61905
E01004298,Tower Hamlets 022A,178,29.6,3.5,56.6,8.3,2.0,70.4,27706
E01004300,Tower Hamlets 022B,278,33.4,3.3,52.6,8.7,2.0,66.6,26634
E01004304,Tower Hamlets 022C,197,23.9,2.2,63.8,6.2,3.8,76.1,26905
E01004305,Tower Hamlets 022D,222,35.1,2.8,52.2,6.8,3.1,64.9,26487
E01004251,Tower Hamlets 023A,167,36.2,4.3,50.6,7.0,2.0,63.8,27411
E01004254,Tower Hamlets 023B,143,66.1,2.5,24.8,3.7,2.9,33.9,61920
E01004255,Tower Hamlets 023C,179,32.2,3.2,53.0,9.5,2.1,67.8,28770
E01004258,Tower Hamlets 023D,153,63.0,5.2,25.3,5.4,1.1,37.0,56927
E01004252,Tower Hamlets 024A,171,38.8,4.2,44.7,10.2,2.1,61.2,30978
E01004253,Tower Hamlets 024B,185,41.1,4.8,41.3,10.9,2.0,58.9,26515
E01004256,Tower Hamlets 024C,121,36.8,2.7,52.0,6.2,2.4,63.2,26570
E01004257,Tower Hamlets 024D,154,33.2,4.5,50.9,10.6,0.8,66.8,26065
E01004301,Tower Hamlets 025B,166,25.3,2.1,65.9,5.4,1.3,74.7,27917
E01004302,Tower Hamlets 025C,412,18.1,2.4,69.7,7.6,2.2,81.9,26689
E01004303,Tower Hamlets 025D,116,44.9,4.2,39.0,10.7,1.1,55.1,36719
E01032768,Tower Hamlets 025E,198,66.6,4.3,22.3,4.7,2.1,33.4,67378
