Codes,Names,PPH_2013,White (%),Mixed/multiple ethnic groups (%),Asian/Asian British (%),Black/African/Caribbean/Black British (%),Other ethnic group (%),BAME (%),Median Annual Household Income estimate (£)
E01000297,Barnet 027D,66,57.0,4.2,28.1,7.2,3.6,43.0,30940
E01000316,Barnet 027E,60,51.4,6.7,24.8,10.6,6.5,48.6,29890
E01000319,Barnet 027F,98,69.1,5.0,20.0,3.0,2.9,30.9,40706
E01000196,Barnet 028A,79,64.3,4.8,20.6,4.9,5.3,35.7,32634
E01000200,Barnet 028B,70,69.6,2.6,15.7,4.4,7.6,30.4,42876
E01000201,Barnet 028C,39,66.4,3.6,18.5,4.3,7.2,33.6,57869
E01000202,Barnet 028D,79,71.7,5.4,14.5,3.6,4.8,28.3,49035
E01000203,Barnet 028E,58,56.3,5.8,22.1,9.0,6.9,43.7,31417
E01000177,Barnet 029A,102,79.2,4.5,9.5,4.4,2.4,20.8,42279
E01000179,Barnet 029B,113,76.6,5.5,11.2,4.8,2.0,23.4,40376
E01000180,Barnet 029C,97,70.5,5.2,14.8,5.7,3.9,29.5,31846
E01000181,Barnet 029D,125,81.1,5.6,8.1,1.8,3.4,18.9,47969
E01000182,Barnet 029E,83,81.1,5.3,8.6,1.8,3.2,18.9,45688
E01000185,Barnet 029F,120,48.8,6.0,18.5,20.5,6.3,51.2,22297
E01000147,Barnet 030A,91,37.4,4.3,49.2,5.2,3.9,62.6,29852
E01000148,Barnet 030B,88,39.6,5.2,32.2,16.9,6.2,60.4,22940
E01000155,Barnet 030D,84,44.8,4.5,33.8,13.5,3.4,55.2,25856
E01033572,Barnet 030E,30,41.6,4.6,38.7,9.3,5.9,58.4,27977
E01033573,Barnet 030F,147,41.4,6.9,26.5,17.9,7.3,58.6,28731
E01000239,Barnet 031A,48,49.5,5.4,24.8,12.7,7.6,50.5,29198
E01000240,Barnet 031B,40,49.6,6.8,26.4,11.0,6.2,50.4,31015
E01000241,Barnet 031C,53,68.3,3.5,15.7,4.7,7.8,31.7,38632
E01000309,Barnet 031D,65,49.3,4.1,33.6,7.7,5.3,50.7,35528
E01000237,Barnet 032A,66,69.9,3.2,14.5,3.7,8.7,30.1,37356
E01000242,Barnet 032B,61,70.2,3.0,12.4,8.5,5.9,29.8,39441
E01000243,Barnet 032C,104,68.6,3.6,19.9,3.6,4.4,31.4,29882
E01000244,Barnet 032D,81,56.3,4.0,25.7,7.9,6.1,43.7,30989
E01000245,Barnet 032E,117,57.5,6.6,16.6,11.6,7.7,42.5,24117
E01000314,Barnet 032F,76,48.7,3.9,36.6,6.8,4.0,51.3,37200
E01000183,Barnet 033A,64,76.6,5.2,10.0,2.5,5.6,23.4,47202
E01000206,Barnet 033B,12,75.8,2.7,13.5,2.6,5.4,24.2,82997
E01000207,Barnet 033C,44,82.6,3.6,8.6,1.8,3.4,17.4,61611
E01000208,Barnet 033D,38,77.5,2.6,11.4,1.9,6.5,22.5,55231
E01000210,Barnet 033E,31,78.7,3.0,10.3,2.7,5.3,21.3,54100
E01000213,Barnet 033F,32,87.2,2.3,5.0,1.4,4.1,12.8,76531
E01000236,Barnet 034A,84,79.6,3.1,7.0,2.0,8.3,20.4,38790
E01000238,Barnet 034B,95,66.4,3.9,14.3,5.0,10.3,33.6,32840
E01000310,Barnet 034C,67,57.8,3.8,26.9,5.9,5.6,42.2,29770
E01000311,Barnet 034D,48,80.5,1.9,8.3,4.3,5.0,19.5,51604
E01000205,Barnet 035A,41,77.9,4.8,8.1,3.6,5.6,22.1,54969
E01000209,Barnet 035B,39,89.4,3.3,3.9,0.9,2.5,10.6,54863
E01000211,Barnet 035C,77,66.8,5.8,15.0,6.5,6.0,33.2,31035
E01000212,Barnet 035D,41,81.2,3.2,10.4,2.5,2.7,18.8,57386
E01000216,Barnet 035E,103,69.7,4.2,16.6,1.9,7.7,30.3,44991
E01000217,Barnet 035F,84,80.4,2.0,8.2,3.9,5.4,19.6,45748
E01000150,Barnet 036A,46,41.6,5.4,37.2,11.7,4.1,58.4,28097
E01000305,Barnet 036B,26,40.3,4.6,35.7,11.0,8.3,59.7,24208
E01000306,Barnet 036C,114,36.8,3.2,49.4,6.9,3.8,63.2,28052
E01000308,Barnet 036D,30,48.5,6.6,21.7,18.5,4.7,51.5,19228
E01000312,Barnet 036E,123,46.8,5.0,32.3,11.4,4.5,53.2,24526
E01000313,Barnet 036F,90,40.3,5.2,39.1,8.5,6.9,59.7,26249
E01000145,Barnet 037A,77,68.3,2.7,16.7,4.4,8.0,31.7,41150
E01000215,Barnet 037B,98,73.7,2.2,12.2,4.2,7.7,26.3,39634
E01000218,Barnet 037C,125,72.6,3.4,10.5,4.2,9.2,27.4,39956
E01000219,Barnet 037D,101,68.6,2.5,17.6,3.0,8.4,31.4,32767
E01000220,Barnet 037E,132,73.2,3.3,12.9,2.7,7.9,26.8,32570
E01000225,Barnet 037F,58,78.8,2.3,8.0,2.0,9.0,21.2,46584
E01000135,Barnet 038A,51,63.4,4.9,19.7,4.0,8.1,36.6,45112
E01000136,Barnet 038B,31,74.9,5.4,11.7,2.1,5.9,25.1,69537
E01000144,Barnet 038C,85,59.8,4.2,25.2,3.2,7.5,40.2,42189
E01000146,Barnet 038D,83,60.7,6.6,19.6,4.8,8.3,39.3,33821
E01000214,Barnet 038E,52,72.9,3.8,15.9,2.0,5.4,27.1,51210
E01000141,Barnet 039A,59,53.5,5.7,17.8,14.2,8.8,46.5,25483
E01000221,Barnet 039B,31,44.4,7.0,19.7,21.9,7.0,55.6,21702
E01000223,Barnet 039C,25,53.8,6.4,17.2,14.7,7.9,46.2,24199
E01000307,Barnet 039D,33,44.6,3.9,34.6,12.3,4.6,55.4,26362
E01000138,Barnet 040A,58,58.2,4.3,18.0,6.8,12.6,41.8,29749
E01000142,Barnet 040B,120,56.1,5.9,16.7,12.0,9.3,43.9,29464
E01000222,Barnet 040C,42,47.8,5.4,20.9,12.3,13.5,52.2,25796
E01000224,Barnet 040D,103,45.5,6.2,22.3,12.6,13.3,54.5,29084
E01000137,Barnet 041A,143,56.2,7.3,13.6,15.2,7.8,43.8,25175
E01000139,Barnet 041B,42,66.8,4.8,13.6,5.5,9.2,33.2,39427
E01000140,Barnet 041C,111,65.3,4.6,16.2,6.5,7.4,34.7,31060
E01000143,Barnet 041D,88,55.6,5.6,15.5,14.1,9.3,44.4,23181
E01000466,Bexley 001A,7,46.9,4.2,9.8,38.0,1.1,53.1,24466
E01000467,Bexley 001B,101,48.1,5.8,6.7,37.7,1.7,51.9,27026
E01000468,Bexley 001C,102,36.5,4.8,5.1,52.1,1.5,63.5,29429
E01000469,Bexley 001D,47,46.3,3.8,7.4,41.8,0.7,53.7,28431
E01000416,Bexley 002A,90,49.1,3.2,14.6,32.1,1.0,50.9,27144
E01000418,Bexley 002B,38,59.6,3.1,14.2,21.9,1.2,40.4,27896
E01000422,Bexley 002C,177,45.3,3.1,12.5,37.1,2.0,54.7,20942
E01000464,Bexley 002D,102,52.0,3.0,8.6,35.6,0.9,48.0,22245
E01000465,Bexley 002E,61,58.2,3.8,4.7,32.4,0.9,41.8,22680
E01000470,Bexley 002F,40,52.3,4.3,7.8,34.1,1.5,47.7,21068
E01000333,Bexley 003A,60,84.3,2.3,4.0,8.6,0.8,15.7,26813
E01000335,Bexley 003B,14,60.7,4.7,9.1,23.6,1.8,39.3,25593
E01000336,Bexley 003C,108,56.4,4.2,13.9,23.3,2.2,43.6,24036
E01000337,Bexley 003D,62,74.7,4.8,7.0,12.7,0.7,25.3,29334
E01000338,Bexley 003E,105,74.0,1.8,10.6,12.5,1.1,26.0,29320
E01000403,Bexley 004A,34,74.0,3.7,5.7,15.6,0.9,26.0,26473
E01000404,Bexley 004B,140,61.1,3.9,6.0,28.2,0.8,38.9,25937
E01000405,Bexley 004C,37,67.4,4.0,6.1,21.5,1.0,32.6,28169
E01000408,Bexley 004D,15,58.1,3.1,18.6,17.9,2.3,41.9,27092
E01000332,Bexley 005A,57,75.9,2.8,10.7,9.4,1.2,24.1,30347
E01000402,Bexley 005B,52,78.1,3.4,8.1,10.0,0.5,21.9,28926
E01000406,Bexley 005C,37,65.2,2.9,10.1,21.1,0.7,34.8,28399
E01000407,Bexley 005D,35,79.1,1.9,11.1,7.4,0.4,20.9,30328
E01000334,Bexley 006A,63,78.6,2.0,9.3,8.9,1.2,21.4,32908
E01000417,Bexley 006B,22,77.2,3.0,7.7,10.8,1.3,22.8,30636
E01000419,Bexley 006C,54,84.8,2.0,8.9,4.0,0.3,15.2,35394
E01000420,Bexley 006D,56,86.1,1.7,7.7,4.1,0.4,13.9,36167
E01000442,Bexley 006E,53,85.7,1.2,7.3,5.0,0.7,14.3,31903
E01000437,Bexley 007A,49,86.9,1.7,7.3,3.9,0.2,13.1,32971
E01000438,Bexley 007B,92,84.7,2.1,6.3,6.1,0.9,15.3,30185
E01000439,Bexley 007C,56,83.9,3.2,5.6,7.2,0.1,16.1,27291
E01000440,Bexley 007D,59,84.4,1.8,10.0,3.2,0.5,15.6,36878
E01000441,Bexley 007E,71,84.6,3.3,5.7,6.2,0.3,15.4,27243
E01000373,Bexley 008A,108,64.9,5.1,3.8,24.5,1.6,35.1,20793
E01000429,Bexley 008B,52,69.1,3.4,3.7,23.1,0.8,30.9,23030
E01000430,Bexley 008C,13,64.1,2.8,3.8,28.5,0.9,35.9,28805
E01000431,Bexley 008D,117,69.5,3.6,4.2,22.0,0.7,30.5,22655
E01000432,Bexley 008E,36,75.7,2.5,4.2,15.7,1.9,24.3,25732
E01000433,Bexley 008F,62,73.5,3.6,3.3,19.1,0.4,26.5,23290
E01000434,Bexley 008G,10,82.4,2.3,3.0,11.7,0.6,17.6,22769
E01000356,Bexley 009A,52,84.0,1.0,11.4,3.1,0.5,16.0,37671
E01000357,Bexley 009B,73,84.2,1.4,10.0,3.0,1.5,15.8,44419
E01000359,Bexley 009C,63,84.7,2.6,8.3,4.3,0.2,15.3,44530
E01000421,Bexley 009D,51,87.5,0.9,8.3,1.8,1.5,12.5,36415
E01000450,Bexley 009E,79,82.0,2.1,6.9,8.1,0.9,18.0,30232
E01000451,Bexley 009F,82,83.2,1.4,7.9,7.1,0.4,16.8,35591
E01000452,Bexley 009G,91,81.5,2.7,9.7,4.1,2.0,18.5,37629
E01000367,Bexley 010A,55,81.3,1.9,5.2,11.4,0.3,18.7,24815
E01000368,Bexley 010B,65,83.1,2.4,4.2,10.0,0.3,16.9,26041
E01000372,Bexley 010C,77,77.4,1.5,8.6,11.6,0.8,22.6,26474
E01000380,Bexley 010D,72,90.9,1.0,2.2,5.6,0.3,9.1,26185
E01000435,Bexley 010E,79,78.6,3.1,3.0,15.0,0.4,21.4,25604
E01000353,Bexley 011A,50,90.3,1.8,5.0,2.4,0.5,9.7,41962
E01000354,Bexley 011B,73,84.9,2.4,8.5,3.9,0.3,15.1,30548
E01000355,Bexley 011C,36,90.3,1.1,4.4,3.6,0.6,9.7,36429
E01000358,Bexley 011D,56,88.9,1.2,7.1,2.4,0.3,11.1,38160
E01000436,Bexley 011E,63,87.7,1.6,8.0,2.4,0.3,12.3,42048
E01000401,Bexley 013A,66,82.0,2.1,8.6,6.9,0.5,18.0,27926
E01000453,Bexley 013B,71,85.2,2.3,7.2,4.7,0.6,14.8,36287
E01000454,Bexley 013C,76,82.9,1.9,10.4,3.3,1.5,17.1,28963
E01000455,Bexley 013D,66,80.2,1.2,13.1,4.3,1.1,19.8,36865
E01000456,Bexley 013E,87,84.7,1.4,8.8,4.0,1.1,15.3,35759
E01000325,Bexley 014A,41,93.6,1.4,2.9,1.8,0.3,6.4,43468
E01000326,Bexley 014B,50,89.7,1.7,2.5,5.6,0.5,10.3,34670
E01000369,Bexley 014C,62,89.2,1.9,2.7,4.9,1.3,10.8,31071
E01000370,Bexley 014D,50,89.4,2.7,3.7,3.6,0.7,10.6,36651
E01000371,Bexley 014E,70,91.1,1.0,2.6,5.0,0.3,8.9,34867
E01000360,Bexley 015A,39,85.3,2.6,8.8,2.5,0.8,14.7,34874
E01000362,Bexley 015B,39,88.9,1.8,5.3,2.7,1.2,11.1,38192
E01000365,Bexley 015C,50,87.9,1.5,6.7,3.5,0.4,12.1,33462
E01000366,Bexley 015D,69,83.9,2.8,10.4,1.9,0.9,16.1,39127
E01000394,Bexley 015E,62,87.0,2.7,6.6,2.9,0.8,13.0,38656
E01000388,Bexley 016A,29,82.0,1.3,12.0,3.8,0.9,18.0,36079
E01000392,Bexley 016B,78,75.8,3.6,10.3,8.7,1.7,24.2,26624
E01000409,Bexley 016C,73,91.6,1.3,4.9,1.3,0.8,8.4,35946
E01000411,Bexley 016D,76,85.8,1.7,5.9,5.6,1.0,14.2,33771
E01000414,Bexley 016E,58,72.6,3.2,16.5,5.7,2.0,27.4,30297
E01000415,Bexley 016F,66,82.2,2.1,10.6,3.9,1.2,17.8,41304
E01000327,Bexley 017A,39,91.1,1.8,5.1,1.2,0.8,8.9,42277
E01000328,Bexley 017B,28,92.5,1.1,3.8,2.0,0.5,7.5,36595
E01000329,Bexley 017C,27,89.7,0.8,5.5,3.6,0.4,10.3,31179
E01000330,Bexley 017D,61,89.2,1.8,5.9,2.7,0.4,10.8,29818
E01000331,Bexley 017E,30,85.5,2.8,6.0,5.4,0.3,14.5,27715
E01000340,Bexley 018A,66,91.8,0.8,4.7,2.4,0.3,8.2,31279
E01000395,Bexley 018B,43,87.2,2.2,8.0,2.2,0.4,12.8,41116
E01000396,Bexley 018C,64,84.5,1.0,9.5,3.1,1.9,15.5,37669
E01000410,Bexley 018D,60,88.4,1.6,4.5,5.0,0.4,11.6,35843
E01000412,Bexley 018E,71,85.3,1.1,7.7,5.2,0.7,14.7,36428
E01000413,Bexley 018F,65,87.3,1.5,6.0,3.8,1.4,12.7,31285
E01000374,Bexley 019A,21,83.1,2.4,5.6,8.3,0.5,16.9,23385
E01000375,Bexley 019B,38,88.2,2.0,3.0,6.4,0.3,11.8,28550
E01000376,Bexley 019C,29,87.3,2.4,5.8,4.0,0.5,12.7,30292
E01000377,Bexley 019D,33,92.7,1.5,3.1,2.5,0.1,7.3,33495
E01000378,Bexley 019E,20,87.4,2.1,4.4,5.6,0.5,12.6,30385
E01000379,Bexley 019F,53,89.0,1.4,4.2,5.1,0.4,11.0,31077
E01000348,Bexley 020A,50,91.8,2.0,4.4,1.2,0.6,8.2,48333
E01000349,Bexley 020B,50,89.3,2.3,4.8,3.6,0.1,10.7,43479
E01000361,Bexley 020C,55,90.6,1.8,3.5,4.0,0.2,9.4,37212
E01000363,Bexley 020D,34,84.2,1.6,10.0,3.5,0.7,15.8,41801
E01000389,Bexley 020E,38,85.9,1.2,11.0,1.7,0.3,14.1,37914
E01000390,Bexley 020F,23,82.7,3.3,9.1,2.6,2.2,17.3,38114
E01000393,Bexley 020G,59,84.5,2.4,7.7,4.8,0.6,15.5,35149
E01000346,Bexley 021A,48,91.6,2.5,4.2,1.5,0.2,8.4,36308
E01000347,Bexley 021B,77,89.6,2.6,3.9,2.6,1.3,10.4,30769
E01000350,Bexley 021C,56,91.9,1.8,4.0,1.8,0.5,8.1,38133
E01000352,Bexley 021D,47,88.4,3.0,5.2,2.6,0.8,11.6,32332
E01000391,Bexley 021E,36,88.8,2.0,4.0,4.9,0.4,11.2,30744
E01000341,Bexley 022A,63,93.2,1.2,3.6,1.9,0.1,6.8,35918
E01000342,Bexley 022B,74,93.5,1.8,3.3,0.9,0.5,6.5,35015
E01000343,Bexley 022C,51,92.7,1.4,4.8,0.8,0.3,7.3,36074
E01000345,Bexley 022D,66,91.6,2.7,4.2,1.2,0.4,8.4,41840
E01000460,Bexley 022E,25,91.5,1.4,5.2,1.5,0.4,8.5,53690
E01000364,Bexley 023A,37,85.7,2.2,7.7,3.9,0.4,14.3,37527
E01000444,Bexley 023B,12,86.0,2.6,10.0,1.1,0.3,14.0,52456
E01000447,Bexley 023C,16,91.2,2.3,4.6,1.4,0.5,8.8,40170
E01000448,Bexley 023D,30,93.9,1.6,3.2,1.1,0.1,6.1,53137
E01000449,Bexley 023E,33,92.5,1.6,4.3,1.5,0.1,7.5,50872
E01000351,Bexley 024A,52,91.4,1.9,5.0,1.4,0.4,8.6,36484
E01000443,Bexley 024B,47,93.6,2.0,2.3,1.3,0.9,6.4,33098
E01000445,Bexley 024C,28,91.2,1.0,6.0,1.3,0.5,8.8,43229
E01000446,Bexley 024D,57,94.1,1.2,3.1,0.6,1.0,5.9,37616
E01000461,Bexley 024E,31,89.3,1.0,6.3,2.5,0.9,10.7,44793
E01000339,Bexley 025A,60,92.6,1.8,2.9,2.1,0.7,7.4,34324
E01000344,Bexley 025B,72,93.1,1.8,2.2,2.5,0.4,6.9,38035
E01000423,Bexley 025C,59,91.9,1.3,2.7,2.9,1.1,8.1,45082
E01000425,Bexley 025D,48,93.2,1.1,4.2,1.2,0.3,6.8,45547
E01000463,Bexley 025E,54,90.7,2.2,4.9,2.1,0.2,9.3,41964
E01000424,Bexley 026A,45,92.1,2.0,4.5,0.9,0.4,7.9,45308
E01000426,Bexley 026B,65,91.8,1.7,3.8,1.9,0.7,8.2,39354
E01000427,Bexley 026C,48,91.7,2.0,3.9,1.7,0.7,8.3,32158
E01000457,Bexley 026D,64,87.4,3.0,6.6,2.6,0.5,12.6,34256
E01000462,Bexley 026E,37,89.7,1.6,5.0,2.9,0.9,10.3,32713
E01000382,Bexley 027A,27,90.2,1.2,5.4,2.2,1.0,9.8,44441
E01000384,Bexley 027B,57,93.0,2.1,3.2,1.5,0.2,7.0,34247
E01000387,Bexley 027C,52,90.0,1.0,5.6,3.0,0.4,10.0,36026
E01000428,Bexley 027D,20,82.8,3.6,9.0,4.3,0.3,17.2,29703
E01000458,Bexley 027E,42,91.2,2.1,4.5,1.6,0.5,8.8,47141
E01000459,Bexley 027F,58,90.1,3.0,5.1,1.6,0.2,9.9,34546
E01000381,Bexley 028A,8,92.1,2.4,2.5,2.5,0.6,7.9,29211
E01000383,Bexley 028B,5,92.0,2.0,3.2,2.3,0.5,8.0,34439
E01000385,Bexley 028C,33,85.7,3.2,3.9,6.3,0.9,14.3,25379
E01000386,Bexley 028D,28,79.8,4.1,7.5,7.6,1.0,20.2,24314
E01000398,Bexley 029A,68,84.9,2.2,7.6,4.8,0.6,15.1,28250
E01000399,Bexley 029B,55,82.3,1.9,8.3,6.2,1.3,17.7,34093
E01000400,Bexley 029C,56,80.0,1.9,12.0,5.2,0.9,20.0,31153
E01032566,Bexley 029D,32,81.5,4.0,6.0,7.6,0.9,18.5,28043
E01000587,Brent 001A,87,29.0,2.8,60.8,4.9,2.6,71.0,33884
E01000589,Brent 001B,68,21.1,2.8,63.0,8.5,4.5,78.9,33038
E01000590,Brent 001C,67,38.0,3.5,49.0,6.5,2.9,62.0,34966
E01000592,Brent 001D,82,30.5,2.8,49.8,11.1,5.8,69.5,33290
E01000593,Brent 001E,120,26.3,3.8,47.6,17.0,5.3,73.7,31910
E01000594,Brent 001F,68,23.7,2.8,63.8,8.0,1.7,76.3,30850
E01000513,Brent 002A,98,37.8,2.1,43.4,9.6,7.1,62.2,35522
E01000514,Brent 002B,97,41.5,5.9,37.7,10.6,4.4,58.5,33504
E01000516,Brent 002C,69,40.5,3.6,40.7,9.5,5.7,59.5,30056
E01000520,Brent 002D,70,43.1,4.8,33.4,11.7,7.0,56.9,29645
E01000588,Brent 002E,61,27.9,4.8,38.8,22.8,5.7,72.1,27223
E01000515,Brent 003A,48,34.7,6.5,36.8,15.3,6.7,65.3,25929
E01000517,Brent 003B,68,33.1,1.3,56.7,3.6,5.3,66.9,39288
E01000543,Brent 003E,80,21.7,3.0,63.6,6.5,5.2,78.3,35595
E01000591,Brent 003F,64,21.5,3.1,62.7,6.4,6.3,78.5,28501
E01033463,Brent 003G,68,28.8,2.2,55.8,6.8,6.4,71.2,38050
E01000536,Brent 004A,48,30.5,3.6,58.6,4.1,3.4,69.5,49830
E01000538,Brent 004B,38,34.7,1.4,55.4,3.6,4.9,65.3,54537
E01000539,Brent 004C,52,36.9,2.5,53.9,3.4,3.2,63.1,45908
E01000540,Brent 004D,38,32.0,2.7,57.6,3.9,3.7,68.0,51580
E01000541,Brent 004E,57,26.8,2.3,62.5,5.8,2.5,73.2,40083
E01000518,Brent 005A,33,36.7,4.2,39.9,13.5,5.7,63.3,30433
E01000519,Brent 005B,27,32.3,4.6,39.3,12.8,11.0,67.7,28088
E01000623,Brent 005C,90,37.6,3.0,43.6,9.1,6.7,62.4,34083
E01000624,Brent 005D,64,38.8,4.3,38.5,13.1,5.3,61.2,30473
E01000629,Brent 005E,107,35.8,2.0,45.9,9.8,6.5,64.2,28938
E01000480,Brent 006A,59,34.6,2.7,41.9,9.3,11.4,65.4,48975
E01000484,Brent 006B,47,31.2,4.6,27.9,29.4,6.9,68.8,26267
E01000485,Brent 006C,78,31.3,5.1,44.5,14.5,4.6,68.7,29020
E01000486,Brent 006D,23,34.5,6.3,43.4,4.4,11.4,65.5,40674
E01000487,Brent 006E,63,31.7,3.7,44.7,11.3,8.7,68.3,33272
E01000572,Brent 007A,68,30.1,4.3,51.7,11.4,2.5,69.9,41658
E01000573,Brent 007B,68,33.4,4.1,48.4,8.3,5.8,66.6,37397
E01000574,Brent 007C,62,36.7,5.5,44.6,9.4,3.8,63.3,39187
E01000575,Brent 007D,69,31.2,4.0,49.3,9.4,6.1,68.8,37394
E01000577,Brent 007E,70,23.0,4.7,38.4,25.3,8.6,77.0,25469
E01000562,Brent 008A,54,24.7,2.9,59.6,8.0,4.8,75.3,51160
E01000563,Brent 008B,39,26.9,3.6,57.0,6.7,5.8,73.1,47555
E01000566,Brent 008C,74,30.7,2.9,51.2,9.5,5.7,69.3,41466
E01000568,Brent 008D,30,40.0,2.7,45.9,8.3,3.1,60.0,45790
E01000569,Brent 008E,41,31.4,2.7,52.5,9.0,4.3,68.6,46985
E01000479,Brent 009A,51,31.6,3.3,42.4,7.6,15.1,68.4,47294
E01000481,Brent 009B,62,29.4,4.5,37.6,20.7,7.8,70.6,28055
E01000482,Brent 009C,86,25.3,5.4,30.6,31.8,6.8,74.7,24790
E01000483,Brent 009D,81,26.8,6.1,25.8,31.1,10.3,73.2,23405
E01000625,Brent 009E,57,43.8,3.7,28.0,13.1,11.4,56.3,32596
E01000498,Brent 010B,57,23.3,2.7,43.7,23.0,7.4,76.7,24977
E01000622,Brent 010D,26,52.3,6.2,17.5,18.2,5.7,47.7,25371
E01000626,Brent 010E,73,35.0,6.7,16.6,34.6,7.1,65.0,22663
E01033464,Brent 010F,120,23.9,3.4,44.7,20.8,7.2,76.1,25366
E01000497,Brent 011A,58,43.8,3.8,25.2,20.2,6.9,56.2,28732
E01000499,Brent 011B,33,34.8,5.9,30.0,19.7,9.5,65.2,25334
E01000501,Brent 011C,117,36.9,7.9,18.1,28.8,8.3,63.1,25105
E01000502,Brent 011D,38,44.7,4.5,25.6,18.4,7.0,55.3,28788
E01000503,Brent 011E,50,50.9,4.7,18.5,17.7,8.2,49.1,28870
E01000570,Brent 012A,117,24.4,4.0,48.3,20.1,3.1,75.6,26084
E01000571,Brent 012B,49,27.7,4.3,46.7,13.5,7.8,72.3,36770
E01000576,Brent 012C,56,26.6,4.0,53.2,8.0,8.2,73.4,38014
E01000578,Brent 012D,58,39.7,5.1,36.7,11.9,6.7,60.3,32305
E01000564,Brent 013A,80,31.1,4.8,47.1,13.6,3.4,68.9,31316
E01000565,Brent 013B,84,25.4,3.0,50.4,16.4,4.8,74.6,35952
E01000607,Brent 013C,115,21.4,3.5,61.7,10.4,3.0,78.6,31673
E01000608,Brent 013D,40,19.6,4.2,56.0,14.9,5.2,80.4,27882
E01000613,Brent 013E,81,26.8,4.1,49.1,15.5,4.5,73.2,28854
E01000506,Brent 014A,61,42.4,5.0,20.6,25.4,6.6,57.6,23261
E01000509,Brent 014B,113,33.4,2.8,36.3,20.9,6.5,66.6,25620
E01000510,Brent 014C,95,41.0,5.4,27.1,16.0,10.5,59.0,26578
E01000511,Brent 014D,93,40.5,5.3,26.0,19.9,8.3,59.5,28732
E01000627,Brent 014E,95,34.7,5.1,26.7,25.5,8.0,65.3,23695
E01000628,Brent 014F,55,34.1,5.7,30.8,23.2,6.2,65.9,24702
E01000553,Brent 015A,154,48.6,5.0,25.9,14.2,6.3,51.4,26841
E01000554,Brent 015B,90,56.5,6.9,15.5,15.6,5.5,43.5,28023
E01000555,Brent 015C,74,56.4,5.7,21.1,8.8,7.9,43.6,46177
E01000556,Brent 015D,209,46.7,3.7,22.6,17.0,10.1,53.3,25018
E01000557,Brent 015E,163,52.1,4.9,24.1,10.2,8.7,47.9,31116
E01000558,Brent 015F,89,63.7,7.3,12.5,9.5,7.0,36.3,42802
E01000567,Brent 016A,68,35.4,3.8,46.4,11.4,2.9,64.6,35921
E01000606,Brent 016B,76,26.1,4.0,49.4,16.7,3.8,73.9,28043
E01000609,Brent 016C,85,26.0,4.3,50.5,15.2,4.1,74.0,28354
E01000611,Brent 016D,116,17.7,2.9,59.3,16.0,4.0,82.3,27295
E01000615,Brent 017B,26,23.0,4.4,38.5,28.7,5.4,77.0,28202
E01000617,Brent 017C,64,23.7,2.9,52.6,15.7,5.1,76.3,27605
E01000618,Brent 017D,86,24.3,3.5,43.9,25.0,3.3,75.7,27317
E01000619,Brent 017E,72,17.4,3.9,45.6,29.0,4.1,82.6,28389
E01033424,Brent 017F,48,26.1,6.2,35.5,26.5,5.8,73.9,28115
E01033457,Brent 017G,96,27.9,4.4,51.3,8.9,7.6,72.1,35089
E01000504,Brent 018A,120,59.2,7.0,13.5,14.0,6.3,40.8,36109
E01000505,Brent 018B,109,40.5,4.6,28.9,17.9,8.1,59.5,33721
E01000507,Brent 018C,72,42.5,5.4,29.7,13.8,8.6,57.5,33702
E01000512,Brent 018D,118,62.7,5.5,17.0,11.0,3.7,37.3,36692
E01000559,Brent 018E,128,61.1,6.9,13.2,13.3,5.5,38.9,37385
E01000610,Brent 019A,72,20.5,3.3,58.3,14.1,3.9,79.5,28994
E01000612,Brent 019B,64,23.8,3.5,60.3,9.3,3.1,76.2,27880
E01000631,Brent 019C,79,15.3,2.0,71.5,8.9,2.3,84.7,29699
E01000633,Brent 019D,127,9.0,1.8,81.6,6.3,1.2,91.0,26253
E01000634,Brent 019E,149,14.1,3.4,59.7,19.4,3.5,85.9,26194
E01000616,Brent 020A,103,29.8,5.4,48.7,13.8,2.3,70.2,27779
E01000620,Brent 020B,38,17.8,2.0,55.6,19.3,5.3,82.2,27914
E01000621,Brent 020C,84,23.0,4.7,45.8,22.7,3.8,77.0,27481
E01000635,Brent 020D,107,18.3,4.0,54.7,18.4,4.7,81.7,25264
E01000636,Brent 020E,86,17.5,3.3,61.9,14.6,2.6,82.5,26281
E01000596,Brent 021A,93,24.1,7.9,15.8,45.5,6.7,75.9,20176
E01000601,Brent 021B,22,24.4,7.2,13.6,45.6,9.2,75.6,22667
E01000602,Brent 021C,116,21.8,5.8,24.6,42.4,5.4,78.2,22235
E01000603,Brent 021D,128,27.1,7.5,19.0,40.6,5.9,72.9,22986
E01000604,Brent 021E,104,22.0,6.2,17.8,48.9,5.2,78.0,20970
E01000605,Brent 021F,94,29.2,4.8,21.1,41.3,3.5,70.8,20534
E01000488,Brent 022A,98,43.8,6.0,25.3,14.3,10.6,56.2,34746
E01000637,Brent 022B,235,51.0,6.3,19.0,20.3,3.3,49.0,26847
E01000639,Brent 022C,193,58.7,7.7,17.6,12.7,3.4,41.3,31195
E01000642,Brent 022D,137,58.3,6.5,18.0,12.8,4.5,41.7,28530
E01000644,Brent 022E,165,49.4,6.7,23.6,15.7,4.6,50.6,28169
E01000490,Brent 023A,127,65.4,7.7,12.0,9.8,5.2,34.6,38771
