codes,smr
E01000198,1.470740636
E01000199,0.659712153
E01000200,0.93999308
E01000201,1.328480117
E01000202,0.87806158
E01000203,1.256220604
E01000204,0.954251089
E01000205,1.083042866
E01000206,0.732587646
E01000207,0.906241277
E01000208,0.533927733
E01000209,0.695704963
E01000210,0.889466126
E01000211,1.180828447
E01000212,0.83649878
E01000213,0.546348829
E01000214,0.56036658
E01000215,0.888758082
E01000216,1.373902169
E01000217,0.685093159
E01000218,0
E01000219,1.597670603
E01000220,1.494424504
E01000221,2.046260667
E01000222,1.563061476
E01000223,1.648877683
E01000224,1.227569827
E01000225,0.572865248
E01000226,1.004311061
E01000227,1.149099063
E01000228,1.521338618
E01000229,1.456318107
E01000230,1.256285756
E01000231,1.137815224
E01000232,1.572543731
E01000233,0.808346028
E01000234,0.913598803
E01000235,1.789480068
E01000236,1.093247627
E01000237,1.201219503
E01000238,1.309143199
E01000239,0.706976883
E01000240,0.941129073
E01000241,1.175557617
E01000242,1.217663343
E01000243,1.022928002
E01000244,1.072718893
E01000245,1.299835888
E01000246,0.918703929
E01000247,0.78082631
E01000248,1.420218741
E01000249,1.417216803
E01000250,1.311460401
E01000251,1.09995684
E01000252,2.003679583
E01000253,1.724882777
E01000254,1.126303114
E01000255,1.028315523
E01000256,1.140975639
E01000257,1.588851308
E01000258,1.134990097
E01000259,0.99203772
E01000260,1.178310394
E01000261,1.077024307
E01000262,1.178611015
E01000263,0.48004977
E01000264,1.09978006
E01000265,1.327823142
E01000266,0.960322034
E01000267,1.332327519
E01000268,1.730872184
E01000269,1.318877245
E01000270,0.860908021
E01000271,1.503259254
E01000272,1.050508156
E01000273,1.178403102
E01000274,1.016799171
E01000275,1.421298857
E01000276,0.978956808
E01000277,2.417688322
E01000278,1.099244114
E01000279,0.771020393
E01000280,1.456978017
E01000281,1.473200818
E01000282,0.774200103
E01000283,0.934967967
E01000284,1.675633188
E01000285,1.413162745
E01000286,2.549738734
E01000287,0.486703192
E01000288,1.209130845
E01000289,1.467208002
E01000290,1.572114914
E01000291,2.083312029
E01000292,0.704299638
E01000293,0.960471379
E01000294,1.920296895
E01000295,1.272530483
E01000296,1.011477601
E01000297,0.576361181
E01000298,1.718427641
E01000299,1.531059247
E01000300,0.756323082
E01000301,0.489645048
E01000302,1.687753142
E01000303,0.745832948
E01000304,1.564366934
E01000305,1.248667391
E01000306,0.965430769
E01000307,1.257016181
E01000308,1.270443688
E01000309,0.877534552
E01000310,1.421223564
E01000311,0.607107093
E01000312,1.984826206
E01000313,1.221858785
E01000314,1.433587541
E01000315,1.455497465
E01000316,0.979587686
E01000317,0.88416738
E01000318,0.831624241
E01000319,0.527090584
E01000320,1.943145612
E01000321,1.739564827
E01000322,0.938813195
E01000323,2.287020427
E01000324,1.941961236
E01000325,1.625510521
